(javac -classpath "/usr/local/bin/prism/classes:/usr/local/bin/prism/lib/*:/usr/local/bin/prism/prism/classes:/usr/local/bin/prism/prism/lib/*" -d classes src/./GetProbability.java)
PRISM_DIR=/usr/local/bin/prism PRISM_MAINCLASS=simulate.GetProbability bin/run
bin/run: 21: [[: not found



********************************

WORKING ON models/2react.sm

********************************
Path 295 - Length 5230	Prob 0.000000e+00
Path 296 - Length 11134	Prob 0.000000e+00
Path 297 - Length 6786	Prob 0.000000e+00
Path 298 - Length 6048	Prob 0.000000e+00
Path 299 - Length 342	Prob 8.980733e-108
Path 300 - Length 3622	Prob 0.000000e+00
Path 301 - Length 1686	Prob 0.000000e+00
Path 302 - Length 3670	Prob 0.000000e+00
Path 303 - Length 5062	Prob 0.000000e+00
Path 304 - Length 494	Prob 3.404564e-154
Path 305 - Length 636	Prob 3.121617e-198
Path 306 - Length 15872	Prob 0.000000e+00
Path 307 - Length 17928	Prob 0.000000e+00
Path 308 - Length 7592	Prob 0.000000e+00
Path 309 - Length 338	Prob 7.767943e-107
Path 310 - Length 4352	Prob 0.000000e+00
Path 311 - Length 8804	Prob 0.000000e+00
Path 312 - Length 4090	Prob 0.000000e+00
Path 313 - Length 1790	Prob 0.000000e+00
Path 314 - Length 2174	Prob 0.000000e+00
Path 315 - Length 796	Prob 1.086254e-244
Path 316 - Length 3156	Prob 0.000000e+00
Path 317 - Length 7012	Prob 0.000000e+00
Path 318 - Length 1172	Prob 0.000000e+00
Path 319 - Length 1772	Prob 0.000000e+00
Path 320 - Length 878	Prob 4.406276e-272
Path 321 - Length 3180	Prob 0.000000e+00
Path 322 - Length 5830	Prob 0.000000e+00
Path 323 - Length 720	Prob 3.469725e-224
Path 324 - Length 15416	Prob 0.000000e+00
Path 325 - Length 1040	Prob 0.000000e+00
Path 326 - Length 1142	Prob 0.000000e+00
Path 327 - Length 1786	Prob 0.000000e+00
Path 328 - Length 10148	Prob 0.000000e+00
Path 329 - Length 1998	Prob 0.000000e+00
Path 330 - Length 2058	Prob 0.000000e+00
Path 331 - Length 8296	Prob 0.000000e+00
Path 332 - Length 6502	Prob 0.000000e+00
Path 333 - Length 15096	Prob 0.000000e+00
Path 334 - Length 3704	Prob 0.000000e+00
Path 335 - Length 1468	Prob 0.000000e+00
Path 336 - Length 1696	Prob 0.000000e+00
Path 337 - Length 1856	Prob 0.000000e+00
Path 338 - Length 17068	Prob 0.000000e+00
Path 339 - Length 1904	Prob 0.000000e+00
Path 340 - Length 1064	Prob 0.000000e+00
Path 341 - Length 398	Prob 4.556298e-127
Path 342 - Length 7800	Prob 0.000000e+00
Path 343 - Length 6016	Prob 0.000000e+00
Path 344 - Length 3586	Prob 0.000000e+00
Path 345 - Length 512	Prob 7.917986e-161
Path 346 - Length 5298	Prob 0.000000e+00
Path 347 - Length 448	Prob 3.027448e-140
Path 348 - Length 1044	Prob 9.658500e-320
Path 349 - Length 5762	Prob 0.000000e+00
Path 350 - Length 3268	Prob 0.000000e+00
Path 351 - Length 11098	Prob 0.000000e+00
Path 352 - Length 6056	Prob 0.000000e+00
Path 353 - Length 6876	Prob 0.000000e+00
Path 354 - Length 11472	Prob 0.000000e+00
Path 355 - Length 8216	Prob 0.000000e+00
Path 356 - Length 1184	Prob 0.000000e+00
Path 357 - Length 1342	Prob 0.000000e+00
Path 358 - Length 1290	Prob 0.000000e+00
Path 359 - Length 4484	Prob 0.000000e+00
Path 360 - Length 2570	Prob 0.000000e+00
Path 361 - Length 708	Prob 9.941051e-223
Path 362 - Length 874	Prob 7.132983e-269
Path 363 - Length 25132	Prob 0.000000e+00
Path 364 - Length 2472	Prob 0.000000e+00
Path 365 - Length 444	Prob 2.967601e-139
Path 366 - Length 2836	Prob 0.000000e+00
Path 367 - Length 11096	Prob 0.000000e+00
Path 368 - Length 288	Prob 2.676914e-92
Path 369 - Length 4558	Prob 0.000000e+00
Path 370 - Length 13366	Prob 0.000000e+00
Path 371 - Length 6432	Prob 0.000000e+00
Path 372 - Length 8922	Prob 0.000000e+00
Path 373 - Length 1706	Prob 0.000000e+00
Path 374 - Length 12648	Prob 0.000000e+00
Path 375 - Length 1374	Prob 0.000000e+00
Path 376 - Length 2688	Prob 0.000000e+00
Path 377 - Length 1192	Prob 0.000000e+00
Path 378 - Length 2226	Prob 0.000000e+00
Path 379 - Length 808	Prob 1.814309e-250
Path 380 - Length 3584	Prob 0.000000e+00
Path 381 - Length 1372	Prob 0.000000e+00
Path 382 - Length 3122	Prob 0.000000e+00
Path 383 - Length 1394	Prob 0.000000e+00
Path 384 - Length 5190	Prob 0.000000e+00
Path 385 - Length 1072	Prob 0.000000e+00
Path 386 - Length 6810	Prob 0.000000e+00
Path 387 - Length 1438	Prob 0.000000e+00
Path 388 - Length 4174	Prob 0.000000e+00
Path 389 - Length 7454	Prob 0.000000e+00
Path 390 - Length 386	Prob 8.632105e-122
Path 391 - Length 1638	Prob 0.000000e+00
Path 392 - Length 7014	Prob 0.000000e+00
Path 393 - Length 3342	Prob 0.000000e+00
Path 394 - Length 174	Prob 5.491764e-58
Path 395 - Length 11110	Prob 0.000000e+00
Path 396 - Length 5434	Prob 0.000000e+00
Path 397 - Length 4260	Prob 0.000000e+00
Path 398 - Length 848	Prob 3.218377e-263
Path 399 - Length 4932	Prob 0.000000e+00
Path 400 - Length 400	Prob 5.428042e-126
